Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.592323	-0.331085	-0.435973	-0.591155	9.20065	0.795507	4.29306	0.0176585	0.0452062	0.080552	-0.804199	0.331055	-0.390625	1527836109594	-84	93
Throax	00b411e8	0.391062	-0.563935	-0.449361	-0.571946	9.95739	0.747275	-0.230583	0.0475066	0.0350933	-0.0198676	-0.830811	0.263428	0.0944824	1527836109593	-74	91
RUpArm	00b411d9	0.632748	0.0967545	0.0575693	-0.766129	-1.40003	1.08342	10.8459	-0.12928	0.0214207	0.0814278	0.0336914	0.249023	-0.976562	1527836109596	-84	90
RFoArm	00b41148	0.76458	0.12158	0.014538	-0.63279	-1.55408	1.72657	9.66927	-0.151999	0.0509356	0.0204949	0.179688	0.356689	-0.994873	1527836109594	-78	89
LUpArm	00b411db	0.738161	-0.00697095	0.0354415	-0.673657	-0.261619	-0.488346	9.90504	-0.110878	0.071835	-0.00319184	0.125977	0.436523	-0.878174	1527836109593	-84	93
LFoArm	00b41204	0.659094	0.13314	0.0968047	-0.733824	-1.27978	-1.11318	13.3902	0.0516566	0.0721314	-0.0302371	0.259033	0.511963	-0.884033	1527836109590	-84	90
Waist	00b411f7	0.535466	-0.446965	-0.426204	-0.576062	9.85785	-0.012314	2.43676	0.0828621	0.0188935	-0.00632413	-0.883545	0.412354	-0.208984	1527836109593	-75	92
Rthigh	00b411f4	0.515972	-0.503832	-0.504106	-0.475188	9.86873	-0.497369	-0.29737	-0.0205966	0.0502393	-0.0166457	-0.981934	0.439941	-0.00146484	1527836109596	-88	94
Rshank	00b4111b	0.474697	-0.55222	-0.49229	-0.476829	9.78198	-0.533716	-0.942311	-0.00691636	0.0175987	-0.0155201	-0.952637	0.419678	0.179932	1527836109596	-84	98
Lthigh	00b411c8	0.398035	-0.603512	-0.403588	-0.560765	9.87257	-0.241032	-0.479376	-0.0353249	0.0385285	0.00496391	-0.931885	0.425049	0.199219	1527836109590	-88	93
Lshank	00b411ee	0.520685	-0.491591	-0.538964	-0.443557	9.8339	-0.415446	-0.576414	-0.0315464	0.018273	-0.0129106	-1.02881	0.507324	0.0324707	1527836109590	-84	89
