Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.750908	-0.220553	-0.458855	-0.420649	9.024	1.17789	4.92734	-0.0154897	-0.0996328	-0.00990005	-0.825195	0.309082	-0.364746	1529666896345	-51	93
Throax	00b411e8	-0.675328	0.306299	0.38439	0.54987	8.48152	0.191415	5.27825	-0.0466883	0.0129601	-0.0482376	-0.685059	0.302246	-0.394775	1529666896348	-49	93
LUpArm	00b411d9	-0.735623	0.00438548	0.0669587	0.674059	1.36305	1.55288	10.7223	-0.123007	-0.0255742	-0.088625	-0.154297	0.194092	-0.990479	1529666896345	-54	93
LFoArm	00b41148	-0.772845	0.120463	-0.069401	0.619179	0.384693	-2.70013	9.59664	0.0239015	0.0215269	-0.134699	0.0761719	0.70752	-0.765381	1529666896342	-52	93
RUpArm	00b411db	-0.750607	0.120581	0.027531	0.649069	1.88968	-1.31772	9.71932	-0.077577	-0.0220699	-0.0645709	-0.130127	0.516602	-0.825928	1529666896348	-51	93
RFoArm	00b41204	-0.659146	-0.117394	0.143794	0.728744	0.781028	1.52613	13.7681	0.0480207	-0.0416275	-0.0709528	-0.0754395	0.298828	-1.02515	1529666896342	-54	93
Waist	00b411f7	-0.614382	0.383854	0.514994	0.458227	9.80741	0.015891	2.06641	-0.0286748	0.0573388	-0.0135146	-0.891113	0.392822	-0.178711	1529666896342	-49	93
Lthigh	00b411f4	-0.619297	0.428082	0.534083	0.384672	9.85021	-0.888043	0.72307	0.0370188	0.0424221	-0.0299987	-0.938477	0.480225	-0.105225	1529666896345	-51	93
Lshank	00b4111b	-0.498875	0.501567	0.492454	0.506994	9.88332	-0.0764914	0.275537	-0.00967032	-0.0248697	-0.0428115	-0.990967	0.393066	0.0419922	1529666896346	-50	92
Rthigh	00b411c8	-0.39531	0.597103	0.405231	0.568318	9.79518	-0.0663459	-0.407121	-0.0896892	0.0436026	0.00283222	-0.945801	0.387451	0.248047	1529666896348	-59	93
Rshank	00b411ee	-0.469456	0.452418	0.571655	0.498136	9.75007	1.35631	-0.444918	-0.0395244	-0.0219604	-0.0233522	-1.08569	0.303711	0.0266113	1529666896345	-49	94
