Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	-0.583055	0.364512	0.418838	0.593087	9.02894	0.0273001	4.41314	0.121591	-0.254337	0.0193142	-0.793457	0.383057	-0.350342	1529825507029	-51	96
Throax	00b411e8	0.596019	-0.345936	-0.329417	-0.645426	8.26676	-0.109199	5.05781	0.0567997	0.171151	0.0585438	-0.630615	0.297607	-0.458252	1529825507029	-52	95
LUpArm	00b411d9	0.750247	0.152875	-0.0250839	-0.642751	-1.80554	3.38722	9.75221	0.0996786	0.0816229	-0.368501	0.159424	0.0732422	-0.972168	1529825507029	-59	95
LFoArm	00b41148	0.862982	-0.043675	-0.0125697	-0.503187	0.271984	0.908867	8.64505	0.560826	0.226772	-0.568122	0.216309	0.477051	-0.88916	1529825507047	-59	95
RUpArm	00b411db	0.695341	-0.148063	0.119578	-0.693022	0.66028	-3.58171	8.63485	0.547541	-0.0259213	0.474165	-0.00195312	0.689941	-0.682129	1529825507049	-60	95
RFoArm	00b41204	0.49607	0.113609	-0.0506924	-0.859324	1.37966	-0.602384	13.3418	-0.294637	0.258332	0.385563	-0.149902	0.333496	-0.998047	1529825507028	-63	96
Waist	00b411f7	0.432807	-0.507956	-0.558447	-0.492743	9.5818	0.460862	-1.00589	0.160121	0.0484583	-0.0393686	-0.932617	0.318359	0.102051	1529825507047	-49	95
Lthigh	00b411f4	0.438019	-0.513472	-0.535205	-0.507977	9.75301	0.183295	-0.39162	0.0914099	0.0278298	-0.0312641	-0.994141	0.380615	0.0905762	1529825507049	-51	96
Lshank	00b4111b	0.478541	-0.463112	-0.580471	-0.468593	9.75604	0.659231	-0.673964	0.0591039	0.0366151	-0.0384279	-1.03198	0.319336	0.060791	1529825507050	-66	95
Rthigh	00b411c8	0.434409	-0.542603	-0.556405	-0.455285	9.65829	0.0422354	-1.53563	0.0429882	0.0130654	-0.0158263	-0.957764	0.402832	0.186035	1529825507028	-52	95
Rshank	00b411ee	0.561172	-0.442671	-0.584606	-0.38388	9.86457	-0.516887	-0.616624	0.0727995	-0.00874413	-0.0229354	-1.02783	0.48291	-0.0695801	1529825507031	-51	96
