Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	-0.529237	0.363164	0.326049	0.694055	8.97436	0.52322	5.35924	0.0152584	-0.0262065	-0.00653732	-0.785645	0.364014	-0.406006	1529804477881	-68	95
Throax	00b411e8	-0.591735	0.367397	0.281167	0.660163	8.26768	-0.499217	5.68581	-0.0189239	0.0213353	-0.00715599	-0.600586	0.365479	-0.446533	1529804477877	-49	95
LUpArm	00b411d9	-0.641542	-0.111143	0.12443	0.748725	0.659548	3.79662	10.0536	-0.0591644	0.0126291	-0.0138378	-0.0917969	-0.0627441	-1.01367	1529804477881	-59	95
LFoArm	00b41148	-0.774795	0.00223714	0.0208704	0.631864	0.374349	0.138994	9.80445	-0.0174555	0.02275	-0.0137463	0.103027	0.469727	-0.913086	1529804477881	-61	95
RUpArm	00b411db	-0.724185	0.238174	-0.13536	0.632856	1.07266	-4.91193	8.3013	0.0236188	0.0174008	0.00484981	0.00195312	0.807861	-0.556641	1529804477886	-62	95
RFoArm	00b41204	-0.645373	-0.103512	-0.00616665	0.756796	0.143375	-1.23761	13.3701	0.0133959	0.0485744	0.0109675	0.0500488	0.561279	-0.893555	1529804477884	-54	96
Waist	00b411f7	-0.543667	0.46497	0.481759	0.506101	9.84227	-0.169297	0.983526	-0.00592867	-0.00350318	-0.0034618	-0.878906	0.412109	-0.0917969	1529804477880	-49	95
Lthigh	00b411f4	-0.44885	0.496777	0.503232	0.546355	9.82756	1.02195	0.155748	-0.0265493	0.0193279	-0.0159382	-1.01807	0.332764	0.0588379	1529804477884	-50	95
Lshank	00b4111b	-0.471697	0.527122	0.517578	0.481412	9.77847	-0.046803	-0.856582	-0.0104085	0.0051662	-0.0209197	-0.983398	0.433594	0.112793	1529804477883	-50	95
Rthigh	00b411c8	-0.493637	0.502168	0.524866	0.47819	9.80955	0.0257961	-0.453162	-0.00890365	0.00772379	0.00124129	-0.971436	0.404785	0.0400391	1529804477881	-50	95
Rshank	00b411ee	-0.461412	0.515415	0.563979	0.450971	9.74397	0.290249	-1.60243	0.0067116	0.00362909	-0.00578665	-1.06226	0.443115	0.135986	1529804477885	-49	96
