Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.494731	-0.486905	-0.42696	-0.579543	9.87196	0.385407	1.54987	-0.0242016	-0.0085027	0.0153002	-0.866699	0.362793	-0.0769043	1529889917528	-50	97
Throax	00b411e8	0.626498	-0.323291	-0.236769	-0.668524	7.33008	-0.841063	6.95921	-0.0349766	0.0575297	-0.0318686	-0.561523	0.363037	-0.507812	1529889917525	-50	97
LUpArm	00b411d9	0.714436	0.0497206	0.0282967	-0.697358	-0.951373	0.20831	10.8927	0.0257908	-0.0036542	-0.00665588	0.0205078	0.281738	-0.931641	1529889917525	-55	97
LFoArm	00b41148	0.798088	0.0159508	0.046148	-0.60056	-0.893785	-0.13019	9.805	-0.0588572	0.00374865	-0.0488998	0.209229	0.481201	-0.88916	1529889917522	-54	97
RUpArm	00b411db	0.740544	0.018567	0.014824	-0.671588	-0.584364	0.318078	10.0075	0.0338163	0.0108517	-0.0665122	0.0791016	0.357422	-0.905518	1529889917528	-60	97
RFoArm	00b41204	-0.641297	-0.154193	-0.0467486	0.750185	-1.65738	-0.645256	13.2863	0.119367	-0.0156518	-0.0109934	0.159912	0.453125	-0.939941	1529889917530	-61	97
Waist	00b411f7	0.605463	-0.419691	-0.561357	-0.37703	9.81051	-0.835545	0.381721	0.00541898	-0.0246575	-0.0093463	-0.875244	0.431396	0.0268555	1529889917530	-50	96
Lthigh	00b411f4	0.486212	-0.522915	-0.551428	-0.431376	9.69308	-0.629609	-0.305342	0.000668713	-0.0115412	-0.0238777	-0.958496	0.45874	0.121826	1529889917528	-51	97
Lshank	00b4111b	0.582227	-0.4473	-0.561251	-0.38201	9.7919	-0.680169	0.00767602	0.0621483	-0.0168453	-0.0133936	-0.961426	0.407471	0.017334	1529889917526	-53	97
Rthigh	00b411c8	0.663009	-0.0730551	-0.740362	-0.0833431	9.86598	0.346173	-0.314179	-0.00933196	0.0151214	0.0133036	-1.00342	0.375732	0.156982	1529889917525	-59	97
Rshank	00b411ee	0.490458	-0.490747	-0.534757	-0.482342	9.82545	0.354331	-0.449161	-0.0175825	-0.0363199	-0.00725601	-1.01953	0.392578	0.0524902	1529889917525	-57	97
