Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	-0.731804	0.273745	0.410114	0.470461	8.80732	-0.0330698	5.39687	-0.0256327	0.0462111	-0.0439652	-0.781738	0.411621	-0.367676	1529753677655	-49	84
Throax	00b411e8	-0.776042	0.126008	0.615189	0.0585088	9.705	-0.913111	2.09633	-0.0299949	-0.00360415	-0.0334144	-0.744873	0.393555	-0.0539551	1529753677635	-51	83
LUpArm	00b411d9	-0.749525	0.0190459	-0.0515179	0.659694	0.0936879	-0.175417	10.9015	-0.0104041	0.0430933	-0.0148994	-0.0842285	0.372559	-0.922363	1529753677637	-65	84
LFoArm	00b41148	-0.707004	0.0115968	-0.0307259	0.706446	-0.246813	-0.79093	9.70817	0.124656	0.0447266	0.00142931	0.0705566	0.545898	-0.872559	1529753677655	-57	84
RUpArm	00b411db	0.763294	-0.0592719	0.0529861	-0.641141	0.0704564	-1.77073	9.58304	0.0264127	0.0319137	-0.018053	-0.0473633	0.519287	-0.830566	1529753677636	-56	83
RFoArm	00b41204	0.80807	0.0824636	0.100404	-0.57458	0.0143606	-1.59136	13.5271	0.047006	0.0713551	0.00910712	-0.0493164	0.567627	-0.895752	1529753677658	-60	84
Waist	00b411f7	0.546169	-0.447081	-0.524211	-0.476467	9.96959	0.600495	0.513794	-0.000907146	0.0155346	-0.0194531	-0.935791	0.340088	0.0397949	1529753677655	-50	83
Lthigh	00b411f4	0.374114	-0.565731	-0.478457	-0.557733	9.65772	1.46103	-0.622189	-0.0229462	0.00879043	-0.0160701	-1.02124	0.266113	0.230713	1529753677658	-50	84
Lshank	00b4111b	-0.414178	0.574586	0.463397	0.532514	9.7711	0.445824	-0.935462	-0.00491739	0.011686	-0.0185702	-1.01538	0.361816	0.176025	1529753677658	-49	81
Rthigh	00b411c8	0.349817	-0.554179	-0.500548	-0.565656	9.5262	2.03026	-1.04385	0.0179547	0.010802	-0.00936369	-1.02222	0.191406	0.247803	1529753677658	-50	83
Rshank	00b411ee	-0.345765	0.628806	0.39602	0.572903	9.83694	0.292652	-1.12032	-0.0110063	0.0177717	-0.00663682	-1.02808	0.375	0.301025	1529753677657	-50	86
